央视频道,#genre#
CETV-1高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226954/1.m3u8 
CCTV-1高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/1.m3u8
CCTV-2高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8
CCTV-4高清http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
CCTV-7高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/1.m3u8
CCTV-9高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8
CCTV-10高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8
CCTV-11高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
CCTV-12高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/1.m3u8
CCTV-14高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/1.m3u8
CCTV-15高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8
CCTV-17高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8
CCTV-5+高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/1.m3u8
卫视频道,#genre#
凤凰中文高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/1.m3u8 
凤凰资讯高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/1.m3u8 
广东卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/1.m3u8 
浙江卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/1.m3u8 
北京卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/1.m3u8 
湖南卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/1.m3u8 
东方卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/1.m3u8 
天津卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/1.m3u8 
重庆卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8 
辽宁卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/1.m3u8 
东南卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225833/1.m3u8 
江西卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/1.m3u8 
四川卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227006/1.m3u8
湖北卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/1.m3u8 
山东卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/1.m3u8 
安徽卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/1.m3u8 
江苏卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225847/1.m3u8 
深圳卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/1.m3u8 
厦门卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226781/index.m3u8
黑龙江卫视高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225862/1.m3u8 
高纯享4K超高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/1.m3u8
黑莓电影高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8 
黑莓动画高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225878/1.m3u8 
黑莓电竞高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225894/1.m3u8 
金鹰纪实高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8 
冬奥纪实高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/1.m3u8 
纪实人文高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225946/1.m3u8 
快乐垂钓高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226940/1.m3u8 
金鹰卡通高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/1.m3u8 
